Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/cage15,5154859,212390,     4.352,     8.565,     5.658,100,25,    26.000,5624077,  9006.800,    16.080,8,2870940,145203,4645538,204328
input/G3,1585478,63781,     0.312,     0.343,     0.323,100,25,     3.000,246067,   241.680,     4.320,8,242566,623,1074246,51486
input/kkt,2063494,85020,     0.639,     0.978,     0.829,100,25,     6.000,544876,   687.600,     6.240,8,485534,13410,1646614,65394
input/ecology1,1000000,40076,     0.199,     0.201,     0.199,100,25,     4.000,160076,   173.560,     4.480,8,158964,877,839711,596
input/uk-2002,18520486,754819,    24.782,    43.011,    32.403,100,25,    41.000,31003560,  4103.480,    24.000,8,23932156,132792,18520081,753811
input/asia,11950757,483603,     2.333,     5.052,     3.858,100,25,     2.000,1096135,     7.480,     3.360,8,1033386,28,9544905,478668
input/NLR,4163763,166978,     1.909,     4.060,     3.636,100,25,     6.000,1001854,   316.680,     4.560,8,992366,1231,4160563,166889
input/coPapersDBLP,540486,22269,     1.054,     2.142,     1.441,100,25,    82.000,1827359,  1674.160,    24.000,8,924992,127358,540385,22207
input/coPapersCiteseer,434102,17885,     0.852,     2.567,     1.524,100,25,   114.000,2036105,   742.200,    24.000,8,841334,64538,434033,17835
input/copter2,55476,2285,     0.027,     0.039,     0.035,100,25,    13.000,30509,    99.080,     7.200,8,25896,2240,48803,2285
input/333SP,3712815,149176,     1.288,     3.634,     2.474,100,25,     5.000,892962,   189.080,     3.840,8,890292,2304,2227874,148719
input/AS365,3799275,152248,     1.793,     3.693,     3.274,100,25,     6.000,913357,   297.080,     4.400,8,910022,1580,2581423,152238
input/europe,50912018,2052196,    17.979,    33.131,    21.710,100,25,     2.000,4483809,    34.720,     4.800,8,4417094,174,46803326,2048135
input/M6,3501776,140465,     1.629,     3.389,     3.001,100,25,     6.000,842761,   308.360,     4.320,8,836072,3127,2937364,140459
input/nlpkkt200,16240000,661688,    21.028,    24.754,    22.778,100,25,    26.000,17708916,  7977.920,     7.680,8,16817344,276696,14802287,15246
input/thermal2,1227087,49833,     0.469,     0.516,     0.486,100,25,     6.000,298452,   178.200,     4.000,8,290776,940,637962,49767
input/nlpkkt160,8345600,238788,     7.351,    10.836,     8.330,100,36,    27.000,6447276,  3821.500,     8.333,8,5905600,229610,7883815,7663
